"Squad","Player","Pos","Club","Birth Place","Birth Date","Age","MP","Min","Gls"
"Morocco","Romain Saiss","DF","Besiktas","Bourg-de-Peage, France","26-03-1990","32-239",6,466,1
"Morocco","Jawad El Yamiq","DF","Valladolid","Khouribga, Morocco","29-02-1992","30-264",6,309,0
"Morocco","Anass Zaroury","FW","Burnley","Mechelen, Belgium","07-11-2000","22-013",1,27,0
"Morocco","Hakim Ziyech","FW","Chelsea","Gemeente Dronten, Netherlands","19-03-1993","29-246",7,635,1
"France","Alphonse Areola","GK","West Ham","Paris, France","27-02-1993","29-266",0,,
"France","Eduardo Camavinga","DF","Real Madrid","Cabinda, Angola","10-11-2002","20-010",2,140,0
"France","Kingsley Coman","FW,MF","Bayern Munich","Paris, France","13-06-1996","26-160",6,169,0
"France","Ousmane Dembele","FW","Barcelona","Vernon, France","15-05-1997","25-189",7,433,0
"France","Axel Disasi","DF","Monaco","Gonesse, France","11-03-1998","24-254",3,92,0
"France","Youssouf Fofana","MF","Monaco","Paris, France","10-01-1999","23-314",6,227,0
"France","Olivier Giroud","FW","Milan","Chambery, France","30-09-1986","36-051",6,419,4
"France","Antoine Griezmann","MF","Atletico Madrid","Macon, France","21-03-1991","31-244",7,537,0
"France","Matteo Guendouzi","FW,MF","Marseille","Poissy, France","14-04-1999","23-220",1,78,0
"France","Lucas Hernandez","DF","Bayern Munich","Marseille, France","14-02-1996","26-279",1,12,0
"France","Theo Hernandez","DF","Milan","Marseille, France","06-10-1997","25-045",6,508,1
"France","Randal Kolo Muani","FW","Eint Frankfurt","Bondy, France","05-12-1998","23-350",3,182,1
"France","Ibrahima Konate","DF","Liverpool","Paris, France","25-05-1999","23-179",5,294,0
"France","Jules Kounde","DF","Barcelona","Paris, France","12-11-1998","24-008",6,480,0
"France","Hugo Lloris","GK","Tottenham","Nice, France","26-12-1986","35-329",6,570,0
"France","Steve Mandanda","GK","Rennes","Kinshasa, Congo DR","28-03-1985","37-237",1,90,0
"France","Kylian Mbappe","FW","Paris S-G","Paris 19 Buttes-Chaumont, France","20-12-1998","23-335",7,598,8
"France","Benjamin Pavard","DF","Bayern Munich","Maubeuge, France","28-03-1996","26-237",1,88,0
"France","Adrien Rabiot","MF","Juventus","Saint-Maurice, France","03-04-1995","27-231",6,483,1
"France","William Saliba","DF","Arsenal","Bondy, France","24-03-2001","21-241",1,28,0
"France","Aurelien Tchouameni","MF","Real Madrid","Rouen, France","27-01-2000","22-297",7,621,1
"France","Marcus Thuram","FW,MF","M'Gladbach","Provincia di Parma, Italy","06-08-1997","25-106",5,151,0
"France","Dayot Upamecano","DF","Bayern Munich","Evreux, France","27-10-1998","24-024",5,480,0
"France","Raphael Varane","DF","Manchester Utd","Lille, France","25-04-1993","29-209",6,518,0
"France","Jordan Veretout","MF","Marseille","Ancenis, France","01-03-1993","29-264",1,,
"Croatia","Borna Barisic","DF","Rangers","Grad Osijek, Croatia","10-11-1992","30-010",1,120,0
"Croatia","Marcelo Brozovic","MF","Inter","Zagreb, Croatia","16-11-1992","30-004",6,552,0
"Croatia","Ante Budimir","FW","Osasuna","Zenica, Bosnia and Herzegovina","22-07-1991","31-121",2,55,0
"Croatia","Martin Erlic","DF","Sassuolo","Zadar, Croatia","24-01-1998","24-300",0,,
"Croatia","Ivo Grbic","GK","Atletico Madrid","Grad Split, Croatia","18-01-1996","26-306",0,,
"Croatia","Josko Gvardiol","DF","RB Leipzig","Zagreb, Croatia","23-01-2002","20-301",7,690,1
"Croatia","Ivica Ivusic","GK","Osijek","Grad Rijeka, Croatia","01-02-1995","27-292",0,,
"Croatia","Kristijan Jakic","FW","Eint Frankfurt","Grad Split, Croatia","14-05-1997","25-190",1,1,0
"Croatia","Josip Juranovic","DF","Celtic","Zagreb, Croatia","16-08-1995","27-096",6,600,0
"Croatia","Mateo Kovacic","MF","Chelsea","Linz, Austria","06-05-1994","28-198",7,635,0
"Croatia","Andrej Kramaric","FW,MF","Hoffenheim","Zagreb, Croatia","19-06-1991","31-154",7,474,2
"Croatia","Marko Livaja","FW","Hajduk Split","Grad Split, Croatia","26-08-1993","29-086",6,241,1
"Croatia","Dominik Livakovic","GK","Dinamo Zagreb","Zadar, Croatia","09-01-1995","27-315",7,690,0
"Croatia","Dejan Lovren","DF","Zenit","Zenica, Bosnia and Herzegovina","05-07-1989","33-138",6,600,0
"Croatia","Lovro Majer","MF,FW","Rennes","Zagreb, Croatia","17-01-1998","24-307",7,130,1
"Croatia","Luka Modric","MF","Real Madrid","Zadar, Croatia","09-09-1985","37-072",7,653,0
"Croatia","Mislav Orsic","FW","Dinamo Zagreb","Zagreb, Croatia","29-12-1992","29-326",6,162,1
"Croatia","Mario Pasalic","FW,MF","Atalanta","Mainz, Germany","09-02-1995","27-284",7,271,0
"Croatia","Ivan Perisic","FW,DF","Tottenham","Grad Split, Croatia","02-02-1989","33-291",7,669,1
"Croatia","Bruno Petkovic","FW","Dinamo Zagreb","Metkovic, Croatia","16-09-1994","28-065",6,234,1
"Croatia","Borna Sosa","DF","Stuttgart","Zagreb, Croatia","21-01-1998","24-303",5,424,0
"Croatia","Josip Stanisic","DF","Bayern Munich","Munchen, Germany","02-04-2000","22-232",1,90,0
"Croatia","Luka Sucic","MF","RB Salzburg","Linz, Austria","08-09-2002","20-073",0,,
"Croatia","Josip Sutalo","DF","Dinamo Zagreb","Capljina, Bosnia and Herzegovina","28-02-2000","22-265",1,90,0
"Croatia","Domagoj Vida","DF,MF","AEK Athens","Grad Osijek, Croatia","29-04-1989","33-205",0,,
"Croatia","Nikola Vlasic","FW,MF","Torino","Grad Split, Croatia","04-10-1997","25-047",6,209,0
"Argentina","Marcos Acuna","DF,FW","Sevilla","Zapala, Argentina","28-10-1991","31-023",6,373,0
"Argentina","Thiago Almada","MF","Atlanta Utd","Argentina, Argentina","26-04-2001","21-208",1,7,0
"Argentina","Julian Alvarez","FW","Manchester City","Argentina, Argentina","31-01-2000","22-293",7,464,4
"Argentina","Franco Armani","GK","River Plate","Casilda, Argentina","16-10-1986","36-035",0,,
"Argentina","Angel Correa","MF","Atletico Madrid","Rosario, Argentina","09-03-1995","27-256",1,5,0
"Argentina","Rodrigo De Paul","MF","Atletico Madrid","Sarandi, Argentina","24-05-1994","28-180",7,599,0
"Argentina","Angel Di Maria","MF,FW","Juventus","Rosario, Argentina","14-02-1988","34-279",5,288,1
"Argentina","Paulo Dybala","FW","Roma","Laguna Larga, Argentina","15-11-1993","29-005",2,18,0
"Argentina","Enzo Fernandez","MF","Benfica","Argentina, Argentina","17-01-2001","21-307",7,564,1
"Argentina","Juan Foyth","DF","Villarreal","La Plata, Argentina","12-01-1998","24-312",1,5,0
"Argentina","Papu Gomez","MF,FW","Sevilla","Buenos Aires, Argentina","15-02-1988","34-278",2,107,0
"Argentina","Alexis Mac Allister","MF","Brighton","Santa Rosa, Argentina","24-12-1998","23-331",6,550,1
"Argentina","Emiliano Martinez","GK","Aston Villa","Mar del Plata, Argentina","02-09-1992","30-079",7,690,0
"Argentina","Lautaro Martinez","FW","Inter","Bahia Blanca, Argentina","22-08-1997","25-090",6,241,0
"Argentina","Lisandro Martinez","DF","Manchester Utd","Gualeguay, Argentina","18-01-1998","24-306",5,303,0
"Argentina","Lionel Messi","FW","Paris S-G","Rosario, Argentina","24-06-1987","35-149",7,690,7
"Argentina","Nahuel Molina","DF","Atletico Madrid","Embalse, Argentina","06-04-1998","24-228",7,567,1
"Argentina","Gonzalo Montiel","DF,MF","Sevilla","Gonzalez Catan, Argentina","01-01-1997","25-323",4,118,0
"Argentina","Nicolas Otamendi","DF","Benfica","Buenos Aires, Argentina","12-02-1988","34-281",7,690,0
"Argentina","Exequiel Palacios","MF,DF","Leverkusen","Famailla, Argentina","05-10-1998","24-046",3,50,0
"Argentina","Leandro Paredes","MF","Juventus","San Justo, Argentina","29-06-1994","28-144",5,225,0
"Argentina","German Pezzella","DF","Betis","Bahia Blanca, Argentina","27-06-1991","31-146",3,60,0
"Argentina","Guido Rodriguez","MF","Betis","Saenz Pena, Argentina","12-04-1994","28-222",1,56,0
"Argentina","Cristian Romero","DF","Tottenham","Cordoba, Argentina","27-04-1998","24-207",7,547,0
"Argentina","Geronimo Rulli","GK","Villarreal","La Plata, Argentina","20-05-1992","30-184",0,,
"Argentina","Nicolas Tagliafico","DF","Lyon","Buenos Aires, Argentina","31-08-1992","30-081",6,373,0
